etsng_code;etsng_name;cargo_group_code;cargo_group_name
324116;ПРОКАТ ЧЕРНЫХ МЕТАЛЛОВ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;3;Черные металлы
324120;ПРОФИЛИ ГНУТЫЕ СТАЛЬНЫЕ;3;Черные металлы
324135;ПРОФИЛИ СТАЛЬНЫЕ ФАСОННЫЕ ВЫСОКОЙ ТОЧНОСТИ;3;Черные металлы
324145;СТАЛЬ ИЗ ПРЕЦИЗИОННЫХ СПЛАВОВ;3;Черные металлы
324154;СТАЛЬ ЛИСТОВАЯ КРОВЕЛЬНАЯ, В ТОМ ЧИСЛЕ ОЦИНКОВАННАЯ;3;Черные металлы
324169;СТАЛЬ ЛИСТОВАЯ, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;3;Черные металлы
324173;СТАЛЬ ЛИСТОВАЯ ТРАНСФОРМАТОРНАЯ;3;Черные металлы
324188;СТАЛЬ СОРТОВАЯ;3;Черные металлы
324192;СТАЛЬ ТОНКОЛИСТОВАЯ;3;Черные металлы
324205;СТОЙКИ РУДНИЧНЫЕ МЕТАЛЛИЧЕСКИЕ;10;Остальные грузы
324211;ШАРЫ СТАЛЬНЫЕ ПОМОЛЬНЫЕ;3;Черные металлы
324224;ШПУНТЫ МЕТАЛЛИЧЕСКИЕ;10;Остальные грузы
324239;ШТРИПСЫ ЛИСТОВЫЕ;10;Остальные грузы
324243;ШТРИПСЫ СОРТОВЫЕ;10;Остальные грузы
330009;МЕТАЛЛЫ ЦВЕТНЫЕ;10;Остальные грузы
331001;МЕТАЛЛЫ ЦВЕТНЫЕ И ИХ СПЛАВЫ;10;Остальные грузы
331016;АЛЮМИНИЙ;10;Остальные грузы
331020;АЛЮМИНИЙ ПОРОШОК НЕПОКРЫТЫЙ;10;Остальные грузы
331035;БАББИТЫ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10;Остальные грузы
331040;БАВИК (СПЛАВ ЦИНКОВЫЙ);10;Остальные грузы
331054;БИМЕТАЛЛ С ОСНОВОЙ ИЗ ЦВЕТНЫХ МЕТАЛЛОВ;10;Остальные грузы
331069;БРОНЗА;10;Остальные грузы
331073;ВАНАДИЙ;10;Остальные грузы
331088;ВЕРКБЛЕЙ;10;Остальные грузы
331092;ВИСМУТ;10;Остальные грузы
331105;ВОЛЬФРАМ;10;Остальные грузы
331116;ГАЛЛИЙ;10;Остальные грузы
331124;ГАРТ;10;Остальные грузы
